企業名,働き方と裁量,働き方と裁量（タグ）,組織文化,組織文化（タグ）,成長と挑戦,成長と挑戦（タグ）,価値観共鳴,価値観共鳴（タグ）,人間関係,人間関係（タグ）,顧客との接点,顧客との接点（タグ）,業務スタイル,業務スタイル（タグ）,評価と報酬,評価と報酬（タグ）,多様性と自分らしさ,多様性と自分らしさ（タグ）,安定と変化,安定と変化（タグ）,Step1,Step2,Step3,Step4,Step5,Step6,特徴・傾向（面接で重視されること等）,締切・スケジュール（任意）,例年の質問（任意）,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業プロフィール,事業内容
Apple Japan,9,"['ほぼ自走型', 'フルリモート可能', '自己管理重視']",8,"['ボトムアップ', '上司と距離が近い', 'フラット']",9,"['圧倒的成長', '変化スピード爆速', '常に挑戦環境']",8,"['ミッションに共鳴する人が多い', '理念ドリブン', 'カルチャーフィット重視']",7,"['助け合いあり', '上司も話しやすい', '協力し合う文化']",8,"['対人接点が中心', '顧客とのやり取りが日常的']",9,"['0→1業務が多い', '自走型プロジェクト', '創造力重視']",9,"['昇進爆速', '競争的', 'インセンティブ大']",9,"['パーソナリティ尊重', 'LGBTQ/外国籍歓迎', '多様性推進企業']",7,"['スピード感あり', '新規事業多い', '変化に強い']",エントリー , 書類選考 , 英語含む面接複数回 , 内定,,,グローバル視点・革新性・チーム志向を重視。英語でのコミュニケーション能力や顧客中心の考え方が問われる。,通年でインターン・本選考あり。リファラル活用も多い。,「Apple製品で変わった経験」「革新とは何か」など。英語面接あり。,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.apple.com/jp/,テクノロジー,大規模,Apple Japanは、米Apple Inc.の日本法人であり、iPhoneやMacをはじめとした製品の販売、ソフトウェア開発、カスタマーサポートなど幅広い業務を担っています。革新性とデザイン性を兼ね備えた製品で、日本市場におけるブランド価値を確立しています。,Apple製品の輸入販売、アプリケーションやOSの開発、カスタマーサポートの提供。
Archer Daniels Midland Japan,5,"['裁量と指示のバランス型', '部分的に裁量あり', '部署や人によりバラつきあり']",5,"['中間的な文化', '部署により差あり', '上下関係は普通']",5,"['段階的に任される', '基礎的な成長環境あり', '成長速度は普通']",5,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",6,"['普通に良好', '人により当たり外れあり', '部署差がある']",6,"['部署により接点の濃さが異なる', '間接的に顧客へ影響']",6,"['ロジカル＋作業のバランス', '安定業務＋企画もある']",5,"['等級制度あり', '過程も成果も見られる', 'バランス評価']",5,"['部署によって自由度差あり', 'ある程度の多様性あり']",8,"['スピード感あり', '変化に強い', '新規事業多い']",エントリー , 書類選考 , 面接2〜3回（英語あり）, 内定,,,アグリビジネス・トレーディングへの興味、国際感覚、英語力が評価される。外資的カルチャー。,時期不定期。少数精鋭採用で通年傾向。,「グローバル市場でのビジネス興味」「挑戦した経験」など。,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.adm.com/,食品・農業,大規模,Archer Daniels Midland Japanは、世界最大規模の農業ビジネス企業であるADMの日本法人です。日本市場においても食品・飼料・工業用途の原料供給を通じ、グローバルなサプライチェーンを支えています。,農産物の加工・販売、食品原料・飼料・添加物の供給。
Atrae（転職ドラフト）,9,"['フルリモート可能', '裁量全開', '自己管理重視']",9,"['心理的安全性◎', '完全フラット', '風通し抜群']",9,"['常に挑戦環境', '変化スピード爆速', '年次不問で任される']",9,"['理念・存在意義に強く共感', '働く理由が一致している', '採用も価値観重視']",8,"['上司も話しやすい', '協力し合う文化', '助け合いあり']",7,"['対人接点が中心', '顧客とのやり取りが日常的']",9,"['創造力重視', '自走型プロジェクト', '0→1業務が多い']",8,"['早期昇進あり', '成果主義', '評価が昇給に直結']",9,"['パーソナリティ尊重', '多様性推進企業', 'LGBTQ/外国籍歓迎']",5,"['変化と安定が両立', '新旧が混在', '守りと攻めのバランス']",エントリー , 書類選考 , 面談 , 面接複数回 , 内定,,カルチャー最重視の組織。自律性とプロダクト愛、成長意欲が求められる。メンバー全員と面談の文化もあり。,通年採用スタイル。,「働くとは」「Atraeで実現したい組織文化」など。,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.atrae.co.jp/,HRテック・転職支援,中規模,Atraeは、人材・組織領域に特化した自社サービスを展開するテック企業で、エンジニア・デザイナー向けのスカウト型転職サービス『転職ドラフト』を運営しています。,転職ドラフトの運営、組織改善SaaS「wevox」の提供、グローバル人材紹介事業。
auフィナンシャルホールディングス,6,"['部署や人によりバラつきあり', '裁量と指示のバランス型', '部分的に裁量あり']",6,"['部署により差あり', '中間的な文化', '上下関係は普通']",6,"['段階的に任される', '成長速度は普通', '基礎的な成長環境あり']",6,"['理念浸透は部署差あり', 'ビジョン共感をある程度重視']",7,"['上司も話しやすい', '協力し合う文化', '助け合いあり']",7,"['対人接点が中心', '顧客とのやり取りが日常的']",7,"['論理・創造的な業務', '分析・提案系', '柔軟に動ける']",6,"['過程も成果も見られる', '等級制度あり', 'バランス評価']",6,"['ある程度の多様性あり', '部署によって自由度差あり']",7,"['新規事業多い', '変化に強い', 'スピード感あり']",エントリー , 書類選考 , 適性検査 , 面接複数回 , 内定,,金融×通信領域の融合理解。デジタルネイティブな発想と正確な判断力が重視される。,3〜5月中心にグループ採用形式。,「金融サービスの未来」「キャッシュレスの課題」など。,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.au-financial.com/,金融・保険,大規模,auフィナンシャルホールディングスは、KDDIグループの金融事業を統括する中核企業で、銀行、保険、証券、決済など多様なサービスを通じて金融のデジタルトランスフォーメーションを推進しています。,金融持株会社業務、傘下企業による銀行・証券・保険・決済・信用事業の運営支援。
BambooHR Japan,8,"['若手も決定権あり', '役職問わず発言できる', '自由度高め']",8,"['フラット', 'ボトムアップ', '失敗OK文化']",8,"['裁量チャレンジあり', '若手にどんどん任せる', '変化を好む']",8,"['理念ドリブン', 'カルチャーフィット重視', 'ミッションに共鳴する人が多い']",8,"['協力し合う文化', '上司も話しやすい', '助け合いあり']",6,"['部署により接点の濃さが異なる', '間接的に顧客へ影響']",8,"['分析・提案系', '論理・創造的な業務', '柔軟に動ける']",8,"['評価が昇給に直結', '成果主義', '早期昇進あり']",9,"['LGBTQ/外国籍歓迎', 'パーソナリティ尊重', '多様性推進企業']",6,"['変化と安定が両立', '守りと攻めのバランス', '新旧が混在']",エントリー , 書類選考 , 面談 , 面接2回 , 内定,,中小企業向けHR SaaSの理解と共感が大前提。ユーザー視点と人間性重視の選考。,通年応募可能。,「なぜ中小企業支援に関心があるのか」「サービスをどう改善するか」など。面談＋個別面接。,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.bamboohr.com/,HRテック,中規模,BambooHR Japanは、米国発の人事管理クラウドソリューション「BambooHR」を日本市場向けに展開している企業です。中小企業を中心に人事業務の効率化と従業員エンゲージメント向上を支援しています。,人事情報管理SaaSの提供、導入支援・カスタマーサクセス支援。
BASE株式会社,8,"['若手も決定権あり', '役職問わず発言できる', '自由度高め']",8,"['上司と距離が近い', 'ボトムアップ', '失敗OK文化']",8,"['裁量チャレンジあり', '若手にどんどん任せる', '変化を好む']",8,"['ミッションに共鳴する人が多い', '理念ドリブン', 'カルチャーフィット重視']",8,"['上司も話しやすい', '協力し合う文化', '助け合いあり']",7,"['顧客とのやり取りが日常的', '対人接点が中心']",8,"['柔軟に動ける', '論理・創造的な業務', '分析・提案系']",7,"['早期昇進あり', '評価が昇給に直結', '成果主義']",8,"['副業OK', '自分らしさが尊重される', '服装自由']",5,"['守りと攻めのバランス', '新旧が混在', '変化と安定が両立']",エントリー , 書類選考 , 面談 , 面接複数回 , 内定,,個人や小規模事業者を支援したい想いと、スタートアップ志向・サービス志向が強く問われる。,春期採用中心。エンジニア・BizDev職など複数職種。,「BASEを使って実現したいこと」「挑戦と失敗の経験」など。,ENTP,"INFJ, INTP, ENTP, ENTJ",https://binc.jp/,EC・フィンテック,中規模,BASE株式会社は、誰でも簡単にネットショップを開設できるECプラットフォーム『BASE』を運営しています。個人や中小事業者向けに特化したサービス設計で、デザイン性や決済機能も充実。『誰でもカンタンに使える』をコンセプトに、国内EC市場の裾野を広げています。,オンラインショップ作成サービス『BASE』の提供、決済・集客支援機能の開発・運営。
BizReach（ヘッドハンティング）,8,"['自由度高め', '新規事業・提案OK', '役職問わず発言できる']",8,"['ボトムアップ', '失敗OK文化', 'フラット']",9,"['年次不問で任される', '常に挑戦環境', '変化スピード爆速']",8,"['ミッションに共鳴する人が多い', '理念ドリブン', 'カルチャーフィット重視']",7,"['助け合いあり', '協力し合う文化', '上司も話しやすい']",8,"['対人接点が中心', '顧客とのやり取りが日常的']",8,"['分析・提案系', '論理・創造的な業務', '柔軟に動ける']",8,"['成果主義', '評価が昇給に直結', '早期昇進あり']",8,"['副業OK', '自分らしさが尊重される', '服装自由']",6,"['新旧が混在', '守りと攻めのバランス', '変化と安定が両立']",エントリー , 書類選考 , 適性検査 , 面接2〜3回 , 内定,,人材業界への課題意識とビジネス推進力。営業・企画両面での地頭力と顧客志向が重視される。,春〜夏中心。複数職種採用あり。,「自分が変えたい採用の常識」「顧客との信頼構築経験」など。,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.bizreach.jp/,HRテック・人材,大規模,BizReachは、即戦力人材と企業を結ぶハイクラス転職サイト『ビズリーチ』を運営する人材テック企業です。スカウト型転職市場を開拓した先駆者であり、企業と個人の最適な出会いを支援しています。,転職サイト『ビズリーチ』の運営、ダイレクトリクルーティングサービス、ヘッドハンティング支援。
Bunge Japan,5,"['部署や人によりバラつきあり', '部分的に裁量あり', '裁量と指示のバランス型']",5,"['上下関係は普通', '中間的な文化', '部署により差あり']",5,"['基礎的な成長環境あり', '成長速度は普通', '段階的に任される']",5,"['理念浸透は部署差あり', 'ビジョン共感をある程度重視']",6,"['人により当たり外れあり', '普通に良好', '部署差がある']",6,"['間接的に顧客へ影響', '部署により接点の濃さが異なる']",6,"['安定業務＋企画もある', 'ロジカル＋作業のバランス']",5,"['等級制度あり', 'バランス評価', '過程も成果も見られる']",5,"['ある程度の多様性あり', '部署によって自由度差あり']",7,"['スピード感あり', '変化に強い', '新規事業多い']",エントリー , 書類選考 , 面接2回 , 内定,,,食料・飼料・農産品のグローバルな供給に関心。国際志向と倫理観が問われる。,グローバル採用に準ずる。春〜夏が中心。,「サステナブルな食の流通とは」「異文化環境での対応力」など。1on1面接形式。,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.bunge.com/,食品・農業,大規模,Bunge Japanは、世界的アグリビジネス企業であるBungeの日本法人で、穀物・食用油脂・飼料原料などの輸入・加工・流通を手掛けています。,穀物・油脂・飼料・食品原料の輸入・加工・販売。
CAMPFIRE,8,"['自由度高め', '新規事業・提案OK', '役職問わず発言できる']",8,"['上司と距離が近い', 'フラット', '失敗OK文化']",8,"['若手にどんどん任せる', '変化を好む', '裁量チャレンジあり']",9,"['理念・存在意義に強く共感', '採用も価値観重視', '働く理由が一致している']",8,"['協力し合う文化', '上司も話しやすい', '助け合いあり']",8,"['対人接点が中心', '顧客とのやり取りが日常的']",8,"['論理・創造的な業務', '分析・提案系', '柔軟に動ける']",7,"['早期昇進あり', '評価が昇給に直結', '成果主義']",9,"['多様性推進企業', 'LGBTQ/外国籍歓迎', 'パーソナリティ尊重']",5,"['変化と安定が両立', '守りと攻めのバランス', '新旧が混在']",エントリー , 書類選考 , 面談 , 面接2回 , 内定,,クラウドファンディングの社会的意義への共感。共創意識やチャレンジ精神を評価。,通年エントリー可だが春選考が主流。,「挑戦したい社会課題」「プロジェクトを立ち上げるなら？」など。個別面接。,ENFP,"INFJ, INTJ, ENFP, ENTP",https://camp-fire.jp/,クラウドファンディング,中規模,CAMPFIREは、日本最大級のクラウドファンディングプラットフォームを運営し、個人・団体・企業が想いやプロジェクトを実現できる環境を提供しています。,クラウドファンディングサービスの運営、資金調達支援、コミュニティ形成サポート。
Cargill Japan,5,"['裁量と指示のバランス型', '部署や人によりバラつきあり', '部分的に裁量あり']",5,"['中間的な文化', '上下関係は普通', '部署により差あり']",5,"['成長速度は普通', '段階的に任される', '基礎的な成長環境あり']",5,"['ビジョン共感をある程度重視', '理念浸透は部署差あり']",6,"['人により当たり外れあり', '普通に良好', '部署差がある']",6,"['部署により接点の濃さが異なる', '間接的に顧客へ影響']",6,"['ロジカル＋作業のバランス', '安定業務＋企画もある']",5,"['過程も成果も見られる', 'バランス評価', '等級制度あり']",5,"['ある程度の多様性あり', '部署によって自由度差あり']",7,"['スピード感あり', '変化に強い', '新規事業多い']",エントリー , 書類選考 , 面接2回（英語含む）, 内定,,,農業・食品のグローバルサプライチェーンへの理解と関心。英語力・ビジネス倫理も重視。,海外連携のため柔軟な選考日程。,「食品の安定供給に必要なこと」「国際間の調整経験」など。英語面接含む。,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.cargill.co.jp/,食品・農業,大規模,Cargill Japanは、米Cargill社の日本法人で、食品・農業・リスク管理など多岐にわたる領域で事業を展開。食品原料や飼料の供給を通じて、持続可能な社会の実現に貢献しています。,食品原料・農産物の輸入・販売、飼料・油脂の提供、リスク管理ソリューションの提供。
